,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[151],-0.101,1.59,-3.431,3.154,0.115,0.292,203.0,137.0,1.15
dass_latent[152],-0.109,1.591,-3.562,2.948,0.117,0.294,199.0,140.0,1.15
dass_latent[153],-0.037,1.159,-2.304,2.22,0.024,0.17,1069.0,204.0,1.09
dass_latent[154],-0.033,1.19,-2.291,2.283,0.023,0.175,1044.0,267.0,1.09
dass_latent[155],-0.039,1.146,-2.305,2.16,0.023,0.156,1187.0,226.0,1.09
dass_latent[156],0.066,1.292,-2.411,2.591,0.05,0.134,463.0,367.0,1.07
dass_latent[157],0.054,1.318,-2.452,2.548,0.052,0.148,442.0,430.0,1.07
dass_latent[158],0.048,1.31,-2.356,2.748,0.052,0.145,428.0,369.0,1.07
dass_latent[159],0.048,1.41,-2.693,3.005,0.086,0.233,225.0,123.0,1.11
dass_latent[160],0.042,1.413,-2.562,3.013,0.087,0.235,229.0,119.0,1.11
dass_latent[161],0.052,1.396,-2.773,2.913,0.086,0.242,233.0,111.0,1.12
dass_latent[162],-0.019,1.112,-2.191,2.145,0.008,0.168,10658.0,163.0,1.12
dass_latent[163],-0.026,1.136,-2.237,2.161,0.007,0.187,15011.0,219.0,1.12
dass_latent[164],0.004,1.11,-2.294,2.121,0.007,0.143,12128.0,250.0,1.11
dass_latent[165],-0.014,1.662,-3.171,3.339,0.108,0.193,198.0,243.0,1.07
dass_latent[166],-0.031,1.683,-3.312,3.175,0.109,0.182,200.0,285.0,1.07
dass_latent[167],-0.015,1.684,-3.355,3.158,0.111,0.207,199.0,290.0,1.08
dass_latent[168],-0.057,1.425,-2.881,2.726,0.082,0.233,249.0,140.0,1.12
dass_latent[169],-0.041,1.408,-2.989,2.667,0.079,0.231,254.0,119.0,1.12
dass_latent[170],-0.038,1.396,-2.913,2.705,0.082,0.236,243.0,121.0,1.11
dass_latent[171],0.107,1.455,-2.731,2.878,0.072,0.144,309.0,332.0,1.07
dass_latent[172],0.109,1.462,-2.637,2.934,0.074,0.155,298.0,314.0,1.06
dass_latent[173],0.106,1.47,-2.553,3.025,0.075,0.157,298.0,332.0,1.07
dass_latent[174],-0.057,1.347,-2.749,2.334,0.052,0.145,469.0,337.0,1.07
dass_latent[175],-0.068,1.338,-2.706,2.415,0.052,0.145,444.0,381.0,1.07
dass_latent[176],-0.055,1.339,-2.549,2.546,0.051,0.146,430.0,355.0,1.06
dass_latent[177],0.112,1.787,-3.199,4.234,0.14,0.318,167.0,116.0,1.14
