participant_id,n_trials,n_lapse_episodes,lapse_episodes_per_100_trials,mean_lapse_duration,median_lapse_duration,max_lapse_duration,sd_lapse_duration,n_recovered_episodes,recovery_rate,single_trial_lapses,extended_lapses_3plus,first_try_recovery_rate
q0Atnpm0jZS5swcVmq0EMalQUKw1,68,8,11.76470588235294,1.5,1.0,3,0.7071067811865476,8,1.0,5,1,0.625
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,123,19,15.447154471544716,2.526315789473684,1.0,10,2.4573931641955267,19,1.0,10,6,0.5263157894736842
qnR5PLX1v3fPi6SwTJMwGcadwyD3,81,13,16.049382716049383,1.0,1.0,1,0.0,13,1.0,13,0,1.0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,70,5,7.142857142857142,1.8,2.0,3,0.7483314773547883,5,1.0,2,1,0.4
rFV2EUbp64f5ORSh7DqwmCQmeqT2,84,7,8.333333333333332,8.0,6.0,22,6.369570517030843,7,1.0,1,6,0.14285714285714285
rNe3cRPepZUXbJhmmfQZiGsVzX22,104,7,6.730769230769231,2.0,2.0,4,0.9258200997725514,7,1.0,2,1,0.2857142857142857
rUuJv5gl7dWVo7UPQWMx4bohxhK2,73,12,16.43835616438356,1.1666666666666667,1.0,2,0.37267799624996495,12,1.0,10,0,0.8333333333333334
ric6cNjG25XmZJCiKZDOxzeezao1,99,7,7.07070707070707,1.2857142857142858,1.0,3,0.6998542122237652,7,1.0,6,1,0.8571428571428571
roaf78tUWxWSEjAUcUu8O7mrQbl1,69,9,13.043478260869565,1.2222222222222223,1.0,2,0.41573970964154905,9,1.0,7,0,0.7777777777777778
sqfXvh6GJLaYAqr3RvHrixP8IOx1,67,11,16.417910447761194,2.0,2.0,4,1.044465935734187,10,0.9090909090909091,5,4,0.45454545454545453
ssPK6ISW0HerTGke9hznqJ2LpKu1,81,7,8.641975308641975,7.142857142857143,3.0,28,8.998866141727785,7,1.0,2,4,0.2857142857142857
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,97,22,22.68041237113402,1.8636363636363635,1.0,5,1.1791928882793499,21,0.9545454545454546,12,5,0.5454545454545454
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,64,6,9.375,4.333333333333333,2.5,15,4.818944098266987,6,1.0,1,3,0.16666666666666666
tv88wS5Nf6SjruozSmXJxQSmx6J3,72,18,25.0,3.0555555555555554,2.0,8,2.272351259579729,17,0.9444444444444444,5,8,0.2777777777777778
u64Uf920g5VD9Byq26LT2rs5o4t1,102,14,13.725490196078432,1.1428571428571428,1.0,2,0.3499271061118826,14,1.0,12,0,0.8571428571428571
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,76,14,18.421052631578945,1.1428571428571428,1.0,3,0.5150787536377127,14,1.0,13,1,0.9285714285714286
v8nNKiWvPdcjiHXZci39OuFTY6M2,60,8,13.333333333333334,1.0,1.0,1,0.0,8,1.0,8,0,1.0
wdppvL4tIkVlGjou6aYzzjlaZXB2,118,7,5.932203389830509,6.857142857142857,4.0,18,5.767608353767528,7,1.0,0,5,0.0
wkhxvE50megJGMA1EiROSZIJWNq1,76,7,9.210526315789473,3.5714285714285716,4.0,8,2.498979383505129,7,1.0,3,4,0.42857142857142855
xBGZhFOeypWnqzSQClkrwV9z2vF3,75,8,10.666666666666668,4.625,5.0,8,2.341874249399399,8,1.0,1,6,0.125
xHctBv4C2EU8rHYRouw0btT3GT02,85,22,25.882352941176475,1.5454545454545454,1.0,3,0.7820295697311479,21,0.9545454545454546,14,4,0.6363636363636364
xyAILKfYP2M8GqAai11x6NT7IcP2,73,15,20.54794520547945,1.1333333333333333,1.0,3,0.49888765156985887,15,1.0,14,1,0.9333333333333333
y1EHXv8tUTa4BRS4fRio7bULYfA2,93,9,9.67741935483871,4.333333333333333,3.0,10,3.197221015541813,9,1.0,2,5,0.2222222222222222
yatBVTBMCSMp0wJluOCLzTFKMyP2,81,15,18.51851851851852,2.466666666666667,2.0,8,1.8208667044996885,15,1.0,6,6,0.4
yfjd8LbAMrYeG54927d3GiKAyXI2,74,4,5.405405405405405,4.25,4.5,5,0.82915619758885,4,1.0,0,4,0.0
zw1w9FipI9RjJsuhHse6UZavBxs2,108,14,12.962962962962962,1.7142857142857142,1.0,5,1.2205719636167902,14,1.0,10,4,0.7142857142857143
