t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
red,E,8,True,R,98,R,True,E,,1722390.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1625.199999988079,1722291.3999999762,1721887.199999988,prp,,False,1200.0,False,False,1221.0,T1→T2,1720666.199999988,98.0,502.8000000119209,long
blue,E,6,True,B,99,B,True,E,,1724406.8999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,859.2999999821186,1724272.3999999762,1723489.199999988,prp,,False,50.0,False,False,76.09999999403954,T1→T2,1723413.099999994,99.0,917.6999999880792,short
blue,O,9,True,B,100,B,True,O,,1726685.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,912.0,1726349.099999994,1725618.8999999762,prp,,False,150.0,False,False,181.7999999821186,T1→T2,1725437.099999994,100.0,1066.2000000178814,short
red,O,9,True,R,101,R,True,O,,1728902.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1075.9000000059605,1728785.199999988,1727885.599999994,prp,,False,150.0,False,False,176.30000001192093,T1→T2,1727709.299999982,101.0,1016.5,short
red,E,4,True,R,104,R,True,E,,1735453.699999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1066.2999999821186,1735331.8999999762,1734341.799999982,prp,,False,50.0,False,False,76.19999998807907,T1→T2,1734265.599999994,104.0,1111.9000000059605,short
red,O,7,True,R,106,R,True,O,,1740353.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1795.9000000059605,1740196.799999982,1739619.799999982,prp,,False,1200.0,False,False,1218.9000000059605,T1→T2,1738400.8999999762,106.0,733.8000000119209,long
red,O,3,True,R,107,R,True,O,,1742491.0,GE4hogtdLdTFbNasENgtm6SO3hC3,961.7999999821186,1742339.3999999762,1741455.8999999762,prp,,False,50.0,False,False,78.2999999821186,T1→T2,1741377.599999994,107.0,1035.100000023842,short
blue,E,8,True,B,108,B,True,E,,1745392.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1742.0,1745255.5,1743687.599999994,prp,,False,150.0,False,False,174.09999999403954,T1→T2,1743513.5,108.0,1704.4000000059605,short
red,E,2,True,R,110,R,True,E,,1749236.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,753.5999999940395,1749145.099999994,1748568.299999982,prp,,False,150.0,False,False,176.7999999821186,T1→T2,1748391.5,110.0,668.3000000119209,short
red,E,4,True,R,114,R,True,E,,1759171.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1602.100000023842,1759060.5,1758673.799999982,prp,,False,1200.0,False,False,1215.4000000059605,T1→T2,1757458.3999999762,114.0,497.2000000178814,long
blue,O,1,True,B,115,B,True,O,,1761505.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1193.5999999940395,1761388.299999982,1760370.3999999762,prp,,False,150.0,False,False,175.69999998807907,T1→T2,1760194.699999988,115.0,1134.600000023842,short
red,O,5,True,R,117,R,True,O,,1766677.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1663.5,1766543.299999982,1766091.799999982,prp,,False,1200.0,False,False,1212.0,T1→T2,1764879.799999982,117.0,585.5999999940395,long
blue,E,4,True,B,118,B,True,E,,1769577.0,GE4hogtdLdTFbNasENgtm6SO3hC3,1727.9000000059605,1769440.099999994,1768924.299999982,prp,,False,1200.0,False,False,1212.0999999940395,T1→T2,1767712.199999988,118.0,652.7000000178814,long
blue,O,9,True,B,119,B,True,O,,1772334.699999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1038.0999999940395,1771638.799999982,1770770.799999982,prp,,False,150.0,False,False,170.09999999403954,T1→T2,1770600.699999988,119.0,1563.9000000059605,short
blue,E,4,True,B,0,B,True,E,,504940.5999999941,Qv0jhW3sqicqQvd7LfReAsI7nD73,1490.0,504933.400000006,503622.3000000119,prp,,False,150.0,False,False,178.90000000596046,T1→T2,503443.400000006,0.0,1318.2999999821186,short
blue,O,5,True,B,1,B,True,O,,507884.0999999941,Qv0jhW3sqicqQvd7LfReAsI7nD73,1902.0,507872.900000006,507185.2000000179,prp,,False,1200.0,False,False,1214.300000011921,T1→T2,505970.900000006,1.0,698.8999999761581,long
