outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
Stroop CSE RT (Gratton),stroop_cse_rt,219,0.9,241.6918008030541,1.443426265664509,-65.72734075743608,58.81338898183057,-21.58749850030903,-38.89952345339992,19.417124783982647,-17.22131667050675
Stroop CSE Accuracy (Gratton),stroop_cse_acc,219,0.1,-0.0938342651657855,-0.0083949245207654,-0.0381953775608733,0.0095186898753895,-0.004894803221525,0.0155565645064544,-0.0172411065823888,0.0055977565707577
Stroop CSE Accuracy (Gratton),stroop_cse_acc,219,0.3,-0.0325346321436348,-0.0027221613204275,-0.0265756783066631,0.0132821352089775,-0.0251914849790446,0.0265731314902515,-0.0175796785717575,0.0085214688901105
Stroop CSE Accuracy (Gratton),stroop_cse_acc,219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop CSE Accuracy (Gratton),stroop_cse_acc,219,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop CSE Accuracy (Gratton),stroop_cse_acc,219,0.9,0.0587267785255156,0.004498484008495,0.0118126059731406,0.0212959856144062,0.0082965264497854,-0.0377103068675965,-0.0014662916952257,0.0051660284770261
Stroop Post-Conflict Slowing,stroop_post_conflict_slowing,219,0.1,-146.36908083659742,-2.6158452339935403,14.556546895795972,-2.47256586733742,-5.519020984415807,21.29394770138992,7.427213230506685,-1.3913212313829122
Stroop Post-Conflict Slowing,stroop_post_conflict_slowing,219,0.3,-85.3491656976887,11.90226000737228,29.21014210059482,-10.873060523126536,-0.2656886800877376,14.975125739866051,4.880603794695427,-3.541968348251324
Stroop Post-Conflict Slowing,stroop_post_conflict_slowing,219,0.5,-44.490751128616445,-3.841464716318735,19.387325098254376,-14.870362805378493,-1.293285305160103,8.313387181281692,17.659394019425942,-9.417638239204711
Stroop Post-Conflict Slowing,stroop_post_conflict_slowing,219,0.7,-3.290200811817835,8.526522226699809,21.06441386591801,4.785541068042376,-17.960781663595952,7.144037282682671,26.382520715685352,-20.02200714922405
Stroop Post-Conflict Slowing,stroop_post_conflict_slowing,219,0.9,47.56307959698664,-1.867718166678237,15.89011330216177,-3.1879287909642087,1.527216461755272,-1.2984440091091007,22.3201094975666,-9.595154966899806
Stroop Post-Conflict Accuracy,stroop_post_conflict_accuracy,219,0.1,-0.0252319703248061,-0.0021089704315798,-0.0089416764919012,-0.0084955452804446,0.0006027503328941,0.0147601305402413,0.0028193587417004,-0.0025587449671126
Stroop Post-Conflict Accuracy,stroop_post_conflict_accuracy,219,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Post-Conflict Accuracy,stroop_post_conflict_accuracy,219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Post-Conflict Accuracy,stroop_post_conflict_accuracy,219,0.7,0.0207021582096863,0.0016034752384123,0.0041501443342324,-0.0064001623192313,0.0149385260843216,-0.0122619952973131,0.0113053885674402,0.0022754332813352
Stroop Post-Conflict Accuracy,stroop_post_conflict_accuracy,219,0.9,0.0518816621684841,-0.0004528333161947,0.0006578379562877,-0.0068723544457212,0.003098828630013,0.0014906668344744,0.0032551112625464,0.0011765039647748
Stroop Post-Error Accuracy,stroop_post_error_accuracy,91,0.1,1.0,0.0,-0.1358954845256215,0.0,0.0,0.0,0.0,0.0614350833471295
Stroop Post-Error Accuracy,stroop_post_error_accuracy,91,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Post-Error Accuracy,stroop_post_error_accuracy,91,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Post-Error Accuracy,stroop_post_error_accuracy,91,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Post-Error Accuracy,stroop_post_error_accuracy,91,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
