participant_id,first_rule,n_trials,accuracy,learning_slope,trials_to_criterion,pe_rate
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,colour,94,0.4787234042553192,0.006278221291045047,84,0.0
qnR5PLX1v3fPi6SwTJMwGcadwyD3,colour,10,1.0,0.0,0,0.0
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
rFV2EUbp64f5ORSh7DqwmCQmeqT2,colour,16,0.8125,0.033823529411764704,6,0.0
rNe3cRPepZUXbJhmmfQZiGsVzX22,colour,39,0.717948717948718,0.018218623481781375,15,0.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,colour,10,1.0,0.0,0,0.0
ric6cNjG25XmZJCiKZDOxzeezao1,colour,13,0.7692307692307693,0.08241758241758243,3,0.0
roaf78tUWxWSEjAUcUu8O7mrQbl1,colour,12,0.9166666666666666,0.03146853146853147,2,0.0
sqfXvh6GJLaYAqr3RvHrixP8IOx1,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
ssPK6ISW0HerTGke9hznqJ2LpKu1,colour,15,0.9333333333333333,0.010714285714285714,5,0.0
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,colour,12,0.9166666666666666,0.03146853146853147,2,0.0
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,colour,10,1.0,0.0,0,0.0
tv88wS5Nf6SjruozSmXJxQSmx6J3,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
u64Uf920g5VD9Byq26LT2rs5o4t1,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,colour,16,0.75,0.061764705882352944,6,0.0
v8nNKiWvPdcjiHXZci39OuFTY6M2,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
wdppvL4tIkVlGjou6aYzzjlaZXB2,colour,10,1.0,0.0,0,0.0
wkhxvE50megJGMA1EiROSZIJWNq1,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
xBGZhFOeypWnqzSQClkrwV9z2vF3,colour,12,0.9166666666666666,0.03146853146853147,2,0.0
xHctBv4C2EU8rHYRouw0btT3GT02,colour,13,0.8461538461538461,0.05494505494505495,3,0.0
xyAILKfYP2M8GqAai11x6NT7IcP2,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
y1EHXv8tUTa4BRS4fRio7bULYfA2,colour,18,0.7777777777777778,0.03302373581011352,8,0.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,colour,21,0.7142857142857143,0.029870129870129877,11,0.0
yfjd8LbAMrYeG54927d3GiKAyXI2,colour,17,0.7647058823529411,0.0392156862745098,7,0.0
zw1w9FipI9RjJsuhHse6UZavBxs2,colour,27,0.8148148148148148,0.01709401709401709,6,0.0
zxG9mUnF7uRkaOKSoCPsiRZzr372,colour,24,0.7916666666666666,0.01,2,0.0
